quiz_slug,quiz_title_ru,quiz_title_ro,quiz_description_ru,quiz_description_ro,question_ru,question_ro,option1_ru,option1_ro,option2_ru,option2_ro,option3_ru,option3_ro,option4_ru,option4_ro,correct_answer,explanation_ru,explanation_ro
joints-anatomy,Анатомия суставов,Anatomia articulațiilor,Тест на знание строения и функций суставов,Test pentru cunoașterea structurii și funcțiilor articulațiilor,Какой сустав самый подвижный в теле человека?,Care este cea mai mobilă articulație din corpul uman?,Коленный,Genunchiul,Плечевой,Umărul,Тазобедренный,Șoldul,Локтевой,Cotul,1,Плечевой сустав - самый подвижный благодаря шаровидной форме,Articulația umărului este cea mai mobilă datorită formei sferice
joints-anatomy,Анатомия суставов,Anatomia articulațiilor,Тест на знание строения и функций суставов,Test pentru cunoașterea structurii și funcțiilor articulațiilor,Что соединяет кости в суставе?,Ce conectează oasele într-o articulație?,Мышцы,Mușchii,Связки,Ligamentele,Сухожилия,Tendoanele,Хрящи,Cartilajele,1,Связки соединяют кости в суставе обеспечивая стабильность,Ligamentele conectează oasele în articulație asigurând stabilitatea
joints-anatomy,Анатомия суставов,Anatomia articulațiilor,Тест на знание строения и функций суставов,Test pentru cunoașterea structurii și funcțiilor articulațiilor,Какая жидкость находится в полости сустава?,Ce lichid se găsește în cavitatea articulară?,Кровь,Sânge,Лимфа,Limfa,Синовиальная жидкость,Lichidul sinovial,Плазма,Plasma,2,Синовиальная жидкость смазывает сустав и питает хрящ,Lichidul sinovial lubrifică articulația și hrănește cartilajul
joints-anatomy,Анатомия суставов,Anatomia articulațiilor,Тест на знание строения и функций суставов,Test pentru cunoașterea structurii și funcțiilor articulațiilor,Сколько степеней свободы у плечевого сустава?,Câte grade de libertate are articulația umărului?,Одна,Unu,Две,Două,Три,Trei,Четыре,Patru,2,Плечевой сустав имеет три степени свободы: сгибание-разгибание отведение-приведение и ротация,Articulația umărului are trei grade de libertate: flexie-extensie abducție-aducție și rotație
joints-anatomy,Анатомия суставов,Anatomia articulațiilor,Тест на знание строения и функций суставов,Test pentru cunoașterea structurii și funcțiilor articulațiilor,Какой тип сустава у локтя?,Ce tip de articulație este cotul?,Шаровидный,Sferică,Блоковидный,Ginglimus,Седловидный,În șa,Плоский,Plană,1,Локтевой сустав - блоковидный позволяет сгибание и разгибание,Articulația cotului este de tip ginglimus permițând flexia și extensia
nervous-system,Нервная система,Sistemul nervos,Тест на знание структуры нервной системы,Test pentru cunoașterea structurii sistemului nervos,Сколько пар черепных нервов у человека?,Câte perechi de nervi cranieni are omul?,10,10,12,12,14,14,16,16,1,У человека 12 пар черепных нервов,Omul are 12 perechi de nervi cranieni
nervous-system,Нервная система,Sistemul nervos,Тест на знание структуры нервной системы,Test pentru cunoașterea structurii sistemului nervos,Какой нерв иннервирует диафрагму?,Ce nerv inervează diafragma?,Блуждающий нерв,Nervul vag,Диафрагмальный нерв,Nervul frenic,Межреберные нервы,Nervii intercostali,Подключичный нерв,Nervul subclavian,1,Диафрагмальный нерв (n. phrenicus) иннервирует диафрагму,Nervul frenic (n. phrenicus) inervează diafragma
nervous-system,Нервная система,Sistemul nervos,Тест на знание структуры нервной системы,Test pentru cunoașterea structurii sistemului nervos,Самый крупный нерв человеческого тела?,Cel mai mare nerv din corpul uman?,Бедренный нерв,Nervul femural,Седалищный нерв,Nervul sciatic,Большеберцовый нерв,Nervul tibial,Локтевой нерв,Nervul ulnar,1,Седалищный нерв - самый крупный нерв в теле человека,Nervul sciatic este cel mai mare nerv din corpul uman
nervous-system,Нервная система,Sistemul nervos,Тест на знание структуры нервной системы,Test pentru cunoașterea structurii sistemului nervos,Сколько сегментов в спинном мозге?,Câte segmente are măduva spinării?,25,25,31,31,33,33,35,35,1,Спинной мозг имеет 31 сегмент: 8 шейных 12 грудных 5 поясничных 5 крестцовых и 1 копчиковый,Măduva spinării are 31 de segmente: 8 cervicale 12 toracice 5 lombare 5 sacrale și 1 coccigian
nervous-system,Нервная система,Sistemul nervos,Тест на знание структуры нервной системы,Test pentru cunoașterea structurii sistemului nervos,Какой нерв проходит через запястный канал?,Ce nerv trece prin canalul carpian?,Локтевой нерв,Nervul ulnar,Лучевой нерв,Nervul radial,Срединный нерв,Nervul median,Мышечно-кожный нерв,Nervul musculocutan,2,Срединный нерв проходит через запястный канал при его сдавлении развивается синдром запястного канала,Nervul median trece prin canalul carpian la comprimarea lui se dezvoltă sindromul de tunel carpian
circulatory-system,Кровеносная система,Sistemul circulator,Тест на знание сосудов и кровообращения,Test pentru cunoașterea vaselor și circulației,Какая артерия самая крупная в теле человека?,Care este cea mai mare arteră din corpul uman?,Легочная артерия,Artera pulmonară,Аорта,Aorta,Сонная артерия,Artera carotidă,Подключичная артерия,Artera subclavie,1,Аорта - самый крупный артериальный сосуд выходящий из левого желудочка,Aorta este cel mai mare vas arterial care iese din ventriculul stâng
circulatory-system,Кровеносная система,Sistemul circulator,Тест на знание сосудов и кровообращения,Test pentru cunoașterea vaselor și circulației,На какие ветви делится аорта в грудной полости?,În ce ramuri se împarte aorta în cavitatea toracică?,Восходящая дуга и нисходящая,Ascendentă arcul și descendentă,Правая и левая,Dreaptă și stângă,Передняя и задняя,Anterioară și posterioară,Верхняя и нижняя,Superioară și inferioară,0,Аорта делится на восходящую часть дугу и нисходящую часть,Aorta se împarte în partea ascendentă arc și partea descendentă
circulatory-system,Кровеносная система,Sistemul circulator,Тест на знание сосудов и кровообращения,Test pentru cunoașterea vaselor și circulației,Какая вена собирает кровь от головы и шеи?,Ce venă colectează sângele din cap și gât?,Верхняя полая вена,Vena cavă superioară,Яремная вена,Vena jugulară,Подключичная вена,Vena subclavie,Нижняя полая вена,Vena cavă inferioară,1,Яремные вены (внутренняя и наружная) собирают кровь от головы и шеи,Venele jugulare (internă și externă) colectează sângele din cap și gât
circulatory-system,Кровеносная система,Sistemul circulator,Тест на знание сосудов и кровообращения,Test pentru cunoașterea vaselor și circulației,Где пальпируется пульс лучевой артерии?,Unde se palpează pulsul arterei radiale?,На шее,Pe gât,На запястье,Pe încheietura mâinii,На локте,Pe cot,На бедре,Pe coapsă,1,Пульс лучевой артерии определяется на запястье со стороны большого пальца,Pulsul arterei radiale se determină pe încheietura mâinii de partea degetului mare
circulatory-system,Кровеносная система,Sistemul circulator,Тест на знание сосудов и кровообращения,Test pentru cunoașterea vaselor și circulației,Какая артерия кровоснабжает сердечную мышцу?,Ce arteră vascularizează mușchiul cardiac?,Легочная артерия,Artera pulmonară,Венечная артерия,Artera coronară,Бронхиальная артерия,Artera bronșică,Сонная артерия,Artera carotidă,1,Венечные (коронарные) артерии обеспечивают кровоснабжение миокарда,Arterele coronare asigură vascularizația miocardului
skeletal-system,Скелет человека,Scheletul uman,Общие знания о костной системе,Cunoștințe generale despre sistemul osos,Сколько костей у взрослого человека?,Câte oase are un adult?,186,186,206,206,226,226,246,246,1,У взрослого человека 206 костей (у новорожденного около 300),Un adult are 206 oase (un nou-născut are aproximativ 300)
skeletal-system,Скелет человека,Scheletul uman,Общие знания о костной системе,Cunoștințe generale despre sistemul osos,Какая кость защищает головной мозг?,Ce os protejează creierul?,Позвоночник,Coloana vertebrală,Череп,Craniul,Ребра,Coastele,Грудина,Sternul,1,Кости черепа образуют защитную полость для головного мозга,Oasele craniului formează o cavitate protectoare pentru creier
skeletal-system,Скелет человека,Scheletul uman,Общие знания о костной системе,Cunoștințe generale despre sistemul osos,Сколько позвонков в шейном отделе?,Câte vertebre sunt în regiunea cervicală?,5,5,7,7,9,9,12,12,1,В шейном отделе позвоночника 7 позвонков,În regiunea cervicală a coloanei vertebrale sunt 7 vertebre
skeletal-system,Скелет человека,Scheletul uman,Общие знания о костной системе,Cunoștințe generale despre sistemul osos,Какая кость не входит в состав верхней конечности?,Ce os nu face parte din membrul superior?,Плечевая кость,Humerus,Лучевая кость,Radius,Ключица,Clavicula,Локтевая кость,Ulna,2,Ключица относится к поясу верхней конечности а не к свободной части,Clavicula face parte din centura membrului superior nu din partea liberă
skeletal-system,Скелет человека,Scheletul uman,Общие знания о костной системе,Cunoștințe generale despre sistemul osos,Что соединяет грудину и ребра?,Ce conectează sternul și coastele?,Связки,Ligamente,Мышцы,Mușchi,Реберный хрящ,Cartilajul costal,Сухожилия,Tendoane,2,Реберные хрящи соединяют передние концы ребер с грудиной,Cartilajele costale conectează extremitățile anterioare ale coastelor cu sternul
muscular-system,Мышечная система,Sistemul muscular,Тест на общие знания о мышцах,Test pentru cunoștințe generale despre mușchi,Сколько мышц в теле человека?,Câți mușchi are corpul uman?,Около 400,Aproximativ 400,Около 600,Aproximativ 600,Около 800,Aproximativ 800,Около 1000,Aproximativ 1000,1,В теле человека около 600 скелетных мышц,Corpul uman are aproximativ 600 de mușchi scheletici
muscular-system,Мышечная система,Sistemul muscular,Тест на общие знания о мышцах,Test pentru cunoștințe generale despre mușchi,Самая сильная мышца человека по отношению к размеру?,Cel mai puternic mușchi uman în raport cu dimensiunea?,Жевательная мышца,Mușchiul maseter,Икроножная мышца,Mușchiul gastrocnemian,Четырехглавая мышца,Mușchiul cvadriceps,Большая ягодичная,Marele gluteu,0,Жевательная мышца может развивать усилие до 100 кг,Mușchiul maseter poate dezvolta o forță de până la 100 kg
muscular-system,Мышечная система,Sistemul muscular,Тест на общие знания о мышцах,Test pentru cunoștințe generale despre mușchi,Что соединяет мышцы с костями?,Ce conectează mușchii cu oasele?,Связки,Ligamentele,Сухожилия,Tendoanele,Хрящи,Cartilajele,Фасции,Fasciile,1,Сухожилия соединяют мышцы с костями передавая силу сокращения,Tendoanele conectează mușchii cu oasele transmițând forța de contracție
muscular-system,Мышечная система,Sistemul muscular,Тест на общие знания о мышцах,Test pentru cunoștințe generale despre mușchi,Самая большая мышца человеческого тела?,Cel mai mare mușchi din corpul uman?,Широчайшая мышца спины,Marele dorsal,Большая ягодичная мышца,Marele mușchi gluteu,Четырехглавая мышца бедра,Mușchiul cvadriceps femural,Трапециевидная мышца,Mușchiul trapez,1,Большая ягодичная мышца - самая крупная и мощная мышца,Marele mușchi gluteu este cel mai mare și puternic mușchi
muscular-system,Мышечная система,Sistemul muscular,Тест на общие знания о мышцах,Test pentru cunoștințe generale despre mușchi,Какая мышца называется портняжной?,Care mușchi se numește mușchiul croitor?,Самая длинная мышца тела,Cel mai lung mușchi al corpului,Самая короткая мышца тела,Cel mai scurt mușchi al corpului,Самая широкая мышца тела,Cel mai lat mușchi al corpului,Самая сильная мышца тела,Cel mai puternic mușchi al corpului,0,Портняжная мышца - самая длинная мышца человеческого тела,Mușchiul croitor (sartorius) este cel mai lung mușchi din corpul uman
respiratory-system,Дыхательная система,Sistemul respirator,Тест на знание органов дыхания,Test pentru cunoașterea organelor respiratorii,Сколько долей в правом легком?,Câte lobi are plămânul drept?,Две,Două,Три,Trei,Четыре,Patru,Пять,Cinci,1,Правое легкое состоит из трех долей: верхней средней и нижней,Plămânul drept este format din trei lobi: superior mediu și inferior
respiratory-system,Дыхательная система,Sistemul respirator,Тест на знание органов дыхания,Test pentru cunoașterea organelor respiratorii,Сколько долей в левом легком?,Câte lobi are plămânul stâng?,Одна,Unu,Две,Două,Три,Trei,Четыре,Patru,1,Левое легкое состоит из двух долей: верхней и нижней,Plămânul stâng este format din doi lobi: superior și inferior
respiratory-system,Дыхательная система,Sistemul respirator,Тест на знание органов дыхания,Test pentru cunoașterea organelor respiratorii,Какой хрящ гортани самый крупный?,Care cartilaj al laringelui este cel mai mare?,Перстневидный,Cartilajul cricoid,Щитовидный,Cartilajul tiroid,Черпаловидный,Cartilajul aritenoid,Надгортанник,Epiglota,1,Щитовидный хрящ - самый крупный хрящ гортани образует кадык,Cartilajul tiroid este cel mai mare cartilaj al laringelui formând pomul lui Adam
respiratory-system,Дыхательная система,Sistemul respirator,Тест на знание органов дыхания,Test pentru cunoașterea organelor respiratorii,Где происходит газообмен в легких?,Unde are loc schimbul de gaze în plămâni?,В бронхах,În bronhii,В трахее,În trahee,В альвеолах,În alveole,В бронхиолах,În bronhiole,2,Газообмен происходит в альвеолах - мельчайших пузырьках легких,Schimbul de gaze are loc în alveole - cele mai mici vezicule ale plămânilor
respiratory-system,Дыхательная система,Sistemul respirator,Тест на знание органов дыхания,Test pentru cunoașterea organelor respiratorii,Какая мышца главная для вдоха?,Care mușchi este principal pentru inspirație?,Межреберные мышцы,Mușchii intercostali,Диафрагма,Diafragma,Грудино-ключично-сосцевидная,Sternocleidomastoidian,Лестничные мышцы,Mușchii scaleni,1,Диафрагма - главная дыхательная мышца обеспечивающая до 70% вдоха,Diafragma este principalul mușchi respirator asigurând până la 70% din inspirație
digestive-system,Пищеварительная система,Sistemul digestiv,Тест на знание органов пищеварения,Test pentru cunoașterea organelor digestive,Какова длина тонкого кишечника?,Care este lungimea intestinului subțire?,2-3 метра,2-3 metri,4-6 метров,4-6 metri,7-8 метров,7-8 metri,10-12 метров,10-12 metri,1,Длина тонкого кишечника составляет 4-6 метров,Lungimea intestinului subțire este de 4-6 metri
digestive-system,Пищеварительная система,Sistemul digestiv,Тест на знание органов пищеварения,Test pentru cunoașterea organelor digestive,Какой отдел желудка первым получает пищу?,Ce parte a stomacului primește primul alimentele?,Тело желудка,Corpul stomacului,Кардиальная часть,Partea cardială,Дно желудка,Fundul stomacului,Пилорическая часть,Partea pilorică,1,Пищевод впадает в кардиальную часть желудка,Esofagul se varsă în partea cardială a stomacului
digestive-system,Пищеварительная система,Sistemul digestiv,Тест на знание органов пищеварения,Test pentru cunoașterea organelor digestive,Какой орган вырабатывает желчь?,Ce organ produce bila?,Желчный пузырь,Vezica biliară,Печень,Ficatul,Поджелудочная железа,Pancreasul,Селезенка,Splina,1,Печень вырабатывает желчь которая накапливается в желчном пузыре,Ficatul produce bila care se acumulează în vezica biliară
digestive-system,Пищеварительная система,Sistemul digestiv,Тест на знание органов пищеварения,Test pentru cunoașterea organelor digestive,Сколько зубов у взрослого человека?,Câți dinți are un adult?,28,28,30,30,32,32,34,34,2,У взрослого человека 32 зуба включая зубы мудрости,Un adult are 32 de dinți incluzând măselele de minte
digestive-system,Пищеварительная система,Sistemul digestiv,Тест на знание органов пищеварения,Test pentru cunoașterea organelor digestive,Какая железа самая крупная в теле человека?,Care este cea mai mare glandă din corpul uman?,Поджелудочная железа,Pancreasul,Щитовидная железа,Glanda tiroidă,Печень,Ficatul,Надпочечники,Glandele suprarenale,2,Печень - самая крупная железа массой до 1.5 кг,Ficatul este cea mai mare glandă cu masa până la 1.5 kg
skull-bones,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test pentru cunoașterea oaselor craniului,Сколько костей в черепе взрослого человека?,Câte oase sunt în craniul unui adult?,18,18,22,22,26,26,29,29,1,Череп взрослого человека состоит из 22 костей,Craniul unui adult este format din 22 de oase
skull-bones,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test pentru cunoașterea oaselor craniului,Какая кость черепа непарная?,Ce os al craniului este impar?,Теменная кость,Osul parietal,Височная кость,Osul temporal,Лобная кость,Osul frontal,Скуловая кость,Osul zigomatic,2,Лобная кость непарная образует переднюю часть свода черепа,Osul frontal este impar formând partea anterioară a boltei craniene
skull-bones,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test pentru cunoașterea oaselor craniului,Какая кость содержит орган слуха?,Ce os conține organul auzului?,Затылочная кость,Osul occipital,Височная кость,Osul temporal,Клиновидная кость,Osul sfenoidal,Решетчатая кость,Osul etmoidal,1,Височная кость содержит орган слуха и равновесия,Osul temporal conține organul auzului și echilibrului
spine-anatomy,Позвоночник,Coloana vertebrală,Тест на знание позвоночного столба,Test pentru cunoașterea coloanei vertebrale,Сколько всего позвонков в позвоночнике?,Câte vertebre sunt în total în coloana vertebrală?,26,26,30,30,33-34,33-34,40,40,2,В позвоночнике 33-34 позвонка с учетом крестцовых и копчиковых,În coloana vertebrală sunt 33-34 vertebre incluzând cele sacrale și coccigiene
spine-anatomy,Позвоночник,Coloana vertebrală,Тест на знание позвоночного столба,Test pentru cunoașterea coloanei vertebrale,Сколько позвонков в грудном отделе?,Câte vertebre sunt în regiunea toracică?,7,7,10,10,12,12,14,14,2,В грудном отделе позвоночника 12 позвонков,În regiunea toracică a coloanei vertebrale sunt 12 vertebre
spine-anatomy,Позвоночник,Coloana vertebrală,Тест на знание позвоночного столба,Test pentru cunoașterea coloanei vertebrale,Какой позвонок называется атлант?,Ce vertebră se numește atlas?,C1,C1,C2,C2,C7,C7,T1,T1,0,Первый шейный позвонок C1 называется атлант,Prima vertebră cervicală C1 se numește atlas
spine-anatomy,Позвоночник,Coloana vertebrală,Тест на знание позвоночного столба,Test pentru cunoașterea coloanei vertebrale,Какой позвонок называется осевой?,Ce vertebră se numește axis?,C1,C1,C2,C2,C7,C7,L1,L1,1,Второй шейный позвонок C2 называется осевой (аксис),A doua vertebră cervicală C2 se numește axis
spine-anatomy,Позвоночник,Coloana vertebrală,Тест на знание позвоночного столба,Test pentru cunoașterea coloanei vertebrale,Что находится между позвонками?,Ce se află între vertebre?,Связки,Ligamente,Межпозвоночный диск,Discul intervertebral,Хрящ,Cartilaj,Мышцы,Mușchi,1,Между позвонками находятся межпозвоночные диски из фиброзного хряща,Între vertebre se află discurile intervertebrale din cartilaj fibros
